Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
64777162,04/27/2025 06:25:13 PM,04/27/2025 10:36:08 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 10:36:14 PM,Unspecified MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,FDR Dr,Southbound/Downtown,Roadway,E 116 St (Exit 16) - E 106 St (Exit 15),,,
64772111,04/27/2025 05:36:20 PM,04/27/2025 07:09:43 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,78-04 160 STREET,160 STREET,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,160 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 07:09:47 PM,08 QUEENS,4068290024,QUEENS,1037501,202513,ONLINE,Unspecified,QUEENS,,,,,,,,40.722367843137754,-73.8078882140154,"(40.722367843137754, -73.8078882140154)"
64778256,04/27/2025 05:35:31 PM,04/27/2025 07:10:22 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,77-42 160 STREET,160 STREET,77 ROAD,78 AVENUE,77 ROAD,78 AVENUE,ADDRESS,FRESH MEADOWS,160 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 07:10:27 PM,08 QUEENS,4068280008,QUEENS,1037465,202756,ONLINE,Unspecified,QUEENS,,,,,,,,40.723035034391216,-73.80801616820261,"(40.723035034391216, -73.80801616820261)"
64777256,04/27/2025 04:39:45 PM,04/27/2025 07:07:52 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10024,320 WEST   79 STREET,WEST   79 STREET,WEST END AVENUE,RIVERSIDE DRIVE,WEST END AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST   79 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 07:07:54 PM,07 MANHATTAN,1011860095,MANHATTAN,989153,225209,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78482151540311,-73.98229503946843,"(40.78482151540311, -73.98229503946843)"
64775172,04/27/2025 03:41:08 PM,04/27/2025 03:54:45 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11207,ATLANTIC AVENUE,ATLANTIC AVENUE,ATLANTIC AVENUE,PENNSYLVAN AVENUE,ATLANTIC AVENUE,PENNSYLVAN AVENUE,INTERSECTION,,,,Closed,,This complaint does not fall under the Police Department's jurisdiction.,04/27/2025 03:54:50 PM,05 BROOKLYN,,BROOKLYN,1012861,185482,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67573576358189,-73.89685331863805,"(40.67573576358189, -73.89685331863805)"
64778123,04/27/2025 03:01:29 PM,04/27/2025 04:02:26 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,244 HUDSON STREET,HUDSON STREET,CANAL STREET,BROOME STREET,CANAL STREET,BROOME STREET,ADDRESS,NEW YORK,HUDSON STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 04:02:30 PM,02 MANHATTAN,,MANHATTAN,982087,203184,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.724369586163846,-74.00780360823116,"(40.724369586163846, -74.00780360823116)"
64771061,04/27/2025 02:55:51 PM,04/27/2025 06:20:16 PM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,11419,95 AVENUE,95 AVENUE,125 STREET,127 STREET,125 STREET,127 STREET,BLOCKFACE,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 06:20:18 PM,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
64772947,04/27/2025 02:20:25 PM,,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,11215,THIRD AVENUE,THIRD AVENUE,THIRD AVENUE,PROSPECT AVENUE,THIRD AVENUE,PROSPECT AVENUE,INTERSECTION,,,,In Progress,,,04/28/2025 02:26:14 AM,07 BROOKLYN,,BROOKLYN,985676,182226,PHONE,Unspecified,BROOKLYN,,,,,,,,40.666844893217565,-73.99485975576329,"(40.666844893217565, -73.99485975576329)"
64774191,04/27/2025 02:16:25 PM,04/27/2025 02:50:20 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11207,JAMAICA AVENUE,JAMAICA AVENUE,JAMAICA AVENUE,PENNSYLVAN AVENUE,JAMAICA AVENUE,PENNSYLVAN AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/27/2025 02:50:24 PM,05 BROOKLYN,,BROOKLYN,1012687,186366,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67816270299195,-73.89747688257684,"(40.67816270299195, -73.89747688257684)"
64775173,04/27/2025 02:09:28 PM,04/27/2025 06:04:44 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11225,EMPIRE BOULEVARD,EMPIRE BOULEVARD,EMPIRE BOULEVARD,FLATBUSH AVENUE,EMPIRE BOULEVARD,FLATBUSH AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 06:04:48 PM,09 BROOKLYN,,BROOKLYN,994685,180860,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66308949199978,-73.96238749617706,"(40.66308949199978, -73.96238749617706)"
64774070,04/27/2025 01:12:24 PM,04/27/2025 08:50:20 PM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,11229,2330 OCEAN AVENUE,OCEAN AVENUE,AVENUE R,AVENUE S,AVENUE R,AVENUE S,ADDRESS,BROOKLYN,OCEAN AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,04/27/2025 08:50:24 PM,15 BROOKLYN,3068250033,BROOKLYN,997447,159676,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6049402333834,-73.95247341700663,"(40.6049402333834, -73.95247341700663)"
64778286,04/27/2025 12:44:30 PM,04/27/2025 01:08:26 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,146 HENRY STREET,HENRY STREET,CLARK STREET,LOVE LANE,CLARK STREET,LOVE LANE,ADDRESS,BROOKLYN,HENRY STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/27/2025 01:08:32 PM,02 BROOKLYN,3002360132,BROOKLYN,986033,192974,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6963456447536,-73.99357004851208,"(40.6963456447536, -73.99357004851208)"
64771172,04/27/2025 12:35:30 PM,04/27/2025 01:11:12 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11231,CLINTON STREET,CLINTON STREET,CLINTON STREET,HAMILTON AVENUE,CLINTON STREET,HAMILTON AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 01:11:17 PM,06 BROOKLYN,,BROOKLYN,983920,185544,PHONE,Unspecified,BROOKLYN,,,,,,,,40.675952168860235,-74.00118970002566,"(40.675952168860235, -74.00118970002566)"
64774151,04/27/2025 12:25:09 PM,04/27/2025 01:22:55 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11216,NOSTRAND AVENUE,NOSTRAND AVENUE,NOSTRAND AVENUE,SAINT JOHNS PLACE,NOSTRAND AVENUE,SAINT JOHNS PLACE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 01:23:00 PM,08 BROOKLYN,,BROOKLYN,998027,183976,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67163764747709,-73.95033503683327,"(40.67163764747709, -73.95033503683327)"
64776173,04/27/2025 12:24:19 PM,04/27/2025 02:26:54 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11226,416 OCEAN AVENUE,OCEAN AVENUE,CROOKE AVENUE,CATON AVENUE,CROOKE AVENUE,CATON AVENUE,ADDRESS,BROOKLYN,OCEAN AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/27/2025 02:26:59 PM,14 BROOKLYN,3050610040,BROOKLYN,994927,177080,PHONE,Unspecified,BROOKLYN,,,,,,,,40.652713934532365,-73.96152120278896,"(40.652713934532365, -73.96152120278896)"
64775177,04/27/2025 12:08:13 PM,04/27/2025 12:23:34 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 12:23:39 PM,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,BQE/Gowanus Expwy,East/Queens Bound,Roadway,Hamilton Ave (Exit 26) - Atlantic Ave (Exit 27),,,
64775115,04/27/2025 11:56:15 AM,04/27/2025 12:21:54 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 12:21:58 PM,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,BQE/Gowanus Expwy,East/Queens Bound,Roadway,Gowanus Expwy becomes Brooklyn-Queens Expwy - Hamilton Ave (Exit 26),,,
64776174,04/27/2025 11:36:50 AM,04/27/2025 11:48:21 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11226,416 OCEAN AVENUE,OCEAN AVENUE,CROOKE AVENUE,CATON AVENUE,CROOKE AVENUE,CATON AVENUE,ADDRESS,BROOKLYN,OCEAN AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 11:48:22 AM,14 BROOKLYN,3050610040,BROOKLYN,994927,177080,PHONE,Unspecified,BROOKLYN,,,,,,,,40.652713934532365,-73.96152120278896,"(40.652713934532365, -73.96152120278896)"
64774086,04/27/2025 11:17:17 AM,04/27/2025 11:21:29 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 11:21:34 AM,Unspecified BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,BQE/Gowanus Expwy,East/Queens Bound,Roadway,Gowanus Expwy becomes Brooklyn-Queens Expwy - Hamilton Ave (Exit 26),,,
64778170,04/27/2025 11:04:09 AM,04/27/2025 11:11:00 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11215,826 UNION STREET,UNION STREET,7 AVENUE,8 AVENUE,7 AVENUE,8 AVENUE,ADDRESS,BROOKLYN,UNION STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 11:11:03 AM,06 BROOKLYN,3010650009,BROOKLYN,991264,184893,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.674162547958446,-73.9747141449009,"(40.674162547958446, -73.9747141449009)"
64774216,04/27/2025 10:38:38 AM,04/27/2025 10:55:02 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,HENRY STREET,HENRY STREET,HENRY STREET,MONTAGUE STREET,HENRY STREET,MONTAGUE STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 10:55:05 AM,02 BROOKLYN,,BROOKLYN,985831,192408,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69479214452921,-73.99429864473622,"(40.69479214452921, -73.99429864473622)"
64771173,04/27/2025 10:30:17 AM,04/27/2025 10:54:23 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,HENRY STREET,HENRY STREET,HENRY STREET,ORANGE STREET,HENRY STREET,ORANGE STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 10:54:27 AM,02 BROOKLYN,,BROOKLYN,986360,193849,PHONE,Unspecified,BROOKLYN,,,,,,,,40.698747244111594,-73.99239052923616,"(40.698747244111594, -73.99239052923616)"
64777138,04/27/2025 09:07:33 AM,04/27/2025 09:35:18 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,HENRY STREET,HENRY STREET,HENRY STREET,PIERREPONT STREET,HENRY STREET,PIERREPONT STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/27/2025 09:35:23 AM,02 BROOKLYN,,BROOKLYN,985920,192652,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69546185158104,-73.99397763508536,"(40.69546185158104, -73.99397763508536)"
64773128,04/27/2025 08:10:59 AM,04/27/2025 09:05:25 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,270 JAY STREET,JAY STREET,CATHEDRAL PLACE,TILLARY STREET,CATHEDRAL PLACE,TILLARY STREET,ADDRESS,BROOKLYN,JAY STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/27/2025 09:05:29 AM,02 BROOKLYN,3000860011,BROOKLYN,987829,193028,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69649331810657,-73.98709318709477,"(40.69649331810657, -73.98709318709477)"
64776175,04/27/2025 07:02:41 AM,04/27/2025 08:39:24 AM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11216,EASTERN PARKWAY,EASTERN PARKWAY,EASTERN PARKWAY,ROGERS AVENUE,EASTERN PARKWAY,ROGERS AVENUE,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 08:39:27 AM,08 BROOKLYN,,BROOKLYN,997213,183382,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67000847994608,-73.95327058228109,"(40.67000847994608, -73.95327058228109)"
64776393,04/27/2025 06:56:22 AM,04/27/2025 09:00:26 AM,NYPD,New York City Police Department,Traffic,Drag Racing,Highway,,,,,,,,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 09:00:30 AM,Unspecified STATEN ISLAND,,STATEN ISLAND,,,ONLINE,Unspecified,STATEN ISLAND,,,,Richmond Pkwy/Korean War Vets,Northbound,Roadway,Maguire Ave/Foster Rd/Huguenot Ave - Arden Ave/Annadale Rd,,,
64778092,04/27/2025 06:55:19 AM,04/27/2025 06:59:50 AM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,158-33 78 AVENUE,78 AVENUE,PARSONS BOULEVARD,160 STREET,PARSONS BOULEVARD,160 STREET,ADDRESS,FRESH MEADOWS,78 AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 06:59:56 AM,08 QUEENS,4068280015,QUEENS,1037047,202519,ONLINE,Unspecified,QUEENS,,,,,,,,40.72238703289527,-73.8095260418184,"(40.72238703289527, -73.8095260418184)"
64772003,04/27/2025 06:53:14 AM,04/27/2025 07:00:45 AM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 07:00:49 AM,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,,,,,,,,40.72195913199264,-73.80969682426189,"(40.72195913199264, -73.80969682426189)"
64773133,04/27/2025 06:53:09 AM,04/27/2025 07:00:18 AM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVENUE,78 ROAD,78 AVENUE,78 ROAD,ADDRESS,FRESH MEADOWS,PARSONS BOULEVARD,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/27/2025 07:00:21 AM,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,,,,,,,,40.72195913199264,-73.80969682426189,"(40.72195913199264, -73.80969682426189)"
64764714,04/27/2025 12:07:48 AM,04/27/2025 12:18:27 AM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,10306,140 MILL ROAD,MILL ROAD,INA STREET,EBBITTS STREET,INA STREET,EBBITTS STREET,ADDRESS,STATEN ISLAND,MILL ROAD,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/27/2025 12:18:31 AM,02 STATEN ISLAND,,STATEN ISLAND,953878,145263,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.56533722338753,-74.10931438543054,"(40.56533722338753, -74.10931438543054)"
64764655,04/26/2025 10:09:37 PM,04/26/2025 11:33:15 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11210,645 EAST   26 STREET,EAST   26 STREET,AMERSFORT PLACE,GLENWOOD ROAD,AMERSFORT PLACE,GLENWOOD ROAD,ADDRESS,BROOKLYN,EAST   26 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,04/26/2025 11:33:19 PM,14 BROOKLYN,3052470016,BROOKLYN,997505,170560,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63481445673295,-73.95224317112068,"(40.63481445673295, -73.95224317112068)"
64764706,04/26/2025 07:33:57 PM,04/26/2025 07:36:05 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,,,,,,,,,,,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/26/2025 07:36:09 PM,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,Van Wyck Expwy,North/Bronx Bound,Roadway,Jamaica Ave Hillside Ave (Exit 6) - Main St-Union Trnpke (Exit 8),,,
64765869,04/26/2025 05:01:51 PM,04/26/2025 05:36:41 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10013,205 HUDSON STREET,HUDSON STREET,DESBROSSES STREET,HOLLAND TUNNEL,DESBROSSES STREET,HOLLAND TUNNEL,ADDRESS,NEW YORK,HUDSON STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/26/2025 05:36:47 PM,01 MANHATTAN,1002250008,MANHATTAN,982038,202813,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72335126894835,-74.00798026706096,"(40.72335126894835, -74.00798026706096)"
64764705,04/26/2025 04:48:28 PM,04/26/2025 04:50:05 PM,NYPD,New York City Police Department,Traffic,Chronic Speeding,Street/Sidewalk,11366,77-42 160 STREET,160 STREET,77 ROAD,78 AVENUE,77 ROAD,78 AVENUE,ADDRESS,FRESH MEADOWS,160 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,04/26/2025 04:50:11 PM,08 QUEENS,4068280008,QUEENS,1037465,202756,ONLINE,Unspecified,QUEENS,,,,,,,,40.723035034391216,-73.80801616820261,"(40.723035034391216, -73.80801616820261)"
64763614,04/26/2025 04:25:59 PM,04/26/2025 04:39:24 PM,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,11201,PEARL STREET,PEARL STREET,PEARL STREET,PROSPECT STREET,PEARL STREET,PROSPECT STREET,INTERSECTION,,,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,04/26/2025 04:39:28 PM,02 BROOKLYN,,BROOKLYN,987649,194547,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7006626898424,-73.98774154772173,"(40.7006626898424, -73.98774154772173)"
64765789,04/26/2025 03:59:48 PM,04/27/2025 06:41:57 AM,NYPD,New York City Police Department,Traffic,Drag Racing,Street/Sidewalk,11223,2387 OCEAN PARKWAY,OCEAN PARKWAY,ANGELA DRIVE,AVENUE X,ANGELA DRIVE,AVENUE X,ADDRESS,BROOKLYN,OCEAN PARKWAY,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,04/27/2025 06:42:01 AM,15 BROOKLYN,3071820040,BROOKLYN,993955,154742,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.59140191413139,-73.96505630331848,"(40.59140191413139, -73.96505630331848)"
